Employee;Email;Date;Clocked in;Clocked out;Break;Hours
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-28;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-29;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-30;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-07-31;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-03;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-04;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-05;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-06;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-07;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-10;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-11;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-12;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-13;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-14;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-17;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-18;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-19;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-20;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-21;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-24;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-25;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-26;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-27;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-28;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-08-31;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-01;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-02;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-03;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-04;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-07;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-08;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-09;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-10;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-11;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-14;07:30;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-15;08:00;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-16;07:30;16:30;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-17;08:00;17:00;30;
Anna Duplikat;anna.duplikat@demo-import.ganz-om.invalid;2026-09-18;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-01;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-02;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-03;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-04;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-05;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-08;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-09;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-10;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-11;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-12;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-15;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-16;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-17;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-18;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-19;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-22;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-23;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-24;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-25;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-26;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-29;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-06-30;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-01;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-02;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-03;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-06;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-07;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-08;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-09;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-10;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-13;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-14;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-15;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-16;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-17;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-20;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-21;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-22;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-23;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-24;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-27;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-28;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-29;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-30;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-07-31;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-03;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-04;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-05;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-06;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-07;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-10;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-11;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-12;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-13;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-14;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-17;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-18;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-19;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-20;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-21;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-24;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-25;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-26;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-27;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-28;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-08-31;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-01;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-02;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-03;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-04;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-07;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-08;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-09;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-10;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-11;07:30;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-14;08:00;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-15;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-16;08:00;17:00;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-17;07:30;16:30;30;
Bernd Doppel;bernd.doppel@demo-import.ganz-om.invalid;2026-09-18;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-01;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-02;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-03;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-04;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-05;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-08;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-09;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-10;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-11;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-12;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-15;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-16;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-17;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-18;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-19;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-22;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-23;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-24;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-25;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-26;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-29;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-06-30;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-01;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-02;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-03;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-06;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-07;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-08;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-09;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-10;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-13;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-14;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-15;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-16;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-17;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-20;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-21;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-22;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-23;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-24;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-27;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-28;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-29;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-30;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-07-31;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-03;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-04;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-05;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-06;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-07;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-10;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-11;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-12;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-13;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-14;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-17;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-18;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-19;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-20;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-21;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-24;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-25;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-26;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-27;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-28;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-08-31;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-01;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-02;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-03;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-04;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-07;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-08;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-09;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-10;07:30;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-11;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-14;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-15;08:00;17:00;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-16;07:30;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-17;08:00;16:30;30;
Clara Fischer;clara.fischer@demo-import.ganz-om.invalid;2026-09-18;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-01;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-02;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-03;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-04;08:00;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-05;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-08;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-09;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-10;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-11;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-12;08:00;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-15;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-16;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-17;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-18;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-19;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-22;08:00;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-23;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-24;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-25;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-26;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-29;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-06-30;08:00;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-01;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-02;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-03;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-06;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-07;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-08;08:00;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-09;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-10;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-13;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-14;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-15;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-16;08:00;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-17;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-20;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-21;07:30;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-22;08:00;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-23;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-24;08:00;17:00;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-27;07:30;16:30;30;
David Hoffmann;david.hoffmann@demo-import.ganz-om.invalid;2026-07-28;08:00;16:30;30;
